# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /home/ia1014/gimmemotifs/output/shared.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	FOXG1	NeuroD1	shared
GM.5.0.bHLH.0038	-0.0023121835487387816	-0.0024824526434946916	0.0025145113358462645
GM.5.0.bZIP.0086	-0.0022597164888767136	-0.002666121399241649	0.0023272099609986524
GM.5.0.Homeodomain.0046	-0.0022147507869071767	-0.0025042039005681487	0.002330828891005195
GM.5.0.Mixed.0091	-0.0025744526375171585	-0.0026076733985713418	0.004366908644886749
GM.5.0.Unknown.0133	-0.0025674208857121295	-0.0024708489490708595	0.00268108561982957
GM.5.0.C2H2_ZF.0227	-0.005947275342602591	-0.0027748287563676773	0.007452405213089878
GM.5.0.C2H2_ZF.0115	-0.0022815134788369217	-0.0024975956705325084	0.003851438053537098
GM.5.0.C2H2_ZF.0114	-0.0022363805238785777	-0.0026049638178348685	0.002118469857212829
GM.5.0.Nuclear_receptor.0102	-0.0021980583529990594	-0.002217972633601653	0.0019486134081792
GM.5.0.Mixed.0108	-0.002472183729518872	-0.002679462006878727	0.002853701898311663
GM.5.0.Prospero.0001	-0.002547728687759346	-0.006299181764338909	0.0027970058632410706
GM.5.0.Nuclear_receptor.0046	-0.0022590762747119204	-0.0027639583867878044	0.002445554744492892
GM.5.0.Sox.0036	-0.002307959052190817	-0.004278550350929757	0.0024105013829458506
GM.5.0.Grainyhead.0007	-0.002529552712772411	-0.002507243467110053	0.0026772114426983984
GM.5.0.Unknown.0202	-0.0022631357791347926	-0.0026751773414190366	0.0025455256096543573
GM.5.0.GCM.0004	-0.002608233349061022	-0.00246261670323026	0.002323871011668909
GM.5.0.Mixed.0103	-0.0028837916958069478	-0.002677539982742624	0.0076951560634120975
GM.5.0.C2H2_ZF.0157	-0.002206764859561234	-0.0031010188278148124	0.002799587239618603
GM.5.0.C2H2_ZF.0158	-0.0022271269488341903	-0.0026354090420849735	0.002305378961996278
GM.5.0.Nuclear_receptor.0068	-0.0018732387491693194	-0.0019845754197386372	0.0016952693890726382
GM.5.0.C2H2_ZF.0238	-0.0024568042507996687	-0.002795977373821933	0.0032372315058454442
GM.5.0.C2H2_ZF.0219	-0.0022811036884062283	-0.002690180923481302	0.002422062694820212
GM.5.0.C2H2_ZF.0107	-0.0024111174792033198	-0.004142351785847043	0.002053999469318063
GM.5.0.T-box.0004	-0.003805879933495456	-0.0023991903974102196	0.003447487794289999
GM.5.0.Nuclear_receptor.0127	-0.0022929615632731994	-0.002856268402736486	0.0022357016399204453
GM.5.0.Unknown.0134	-0.002527152678690279	-0.0025105165034887186	0.00247261931889881
GM.5.0.AP-2.0002	-0.0023412510643992003	-0.0035349563816247462	0.002402167244832247
GM.5.0.Paired_box.0015	-0.002299092662777966	-0.0029947935876422998	0.002729150677356151
GM.5.0.bHLH.0105	-0.002188356835457917	-0.003797178119388706	0.0020280508818309576
GM.5.0.Runt.0006	-0.0023348612088384853	-0.0029737336365543614	0.002389196123441227
GM.5.0.C2H2_ZF.0189	-0.0025100328560019435	-0.0024756773555151853	0.0028882948742347926
GM.5.0.Paired_box.0004	-0.0023584689613884422	-0.002687623427805456	0.002469155714685697
GM.5.0.Homeodomain.0185	-0.002268971393280989	-0.0035763003782055707	0.002314501308547733
GM.5.0.Unknown.0185	-0.0023711916411883363	-0.0030059409136334197	0.0027275606808093633
GM.5.0.Nuclear_receptor.0147	-0.002344440135031091	-0.002703391989433779	0.0026428207394181068
GM.5.0.GATA.0021	-0.0022610018803944924	-0.0029566336667105736	0.005850253537386456
GM.5.0.bZIP.0047	-0.004480905603672895	-0.0024534984708591136	0.006297411251843295
GM.5.0.Mixed.0105	-0.0023222852676068402	-0.002592755464500268	0.0026937407887093028
GM.5.0.Homeodomain.0146	-0.0020064205033853274	-0.002436663838011711	0.0018545838558187582
GM.5.0.Mixed.0042	-0.0024361428393959135	-0.0024928241870651427	0.0023140060338369553
GM.5.0.Nuclear_receptor.0116	-0.0023112184388750217	-0.0028067665301170965	0.00425885810134297
GM.5.0.Unknown.0070	-0.002289312661144363	-0.0027570325464765484	0.0026842799997057586
GM.5.0.C2H2_ZF.0084	-0.0026209734753490682	-0.002447456342283445	0.0029143221879515506
GM.5.0.C2H2_ZF.0150	-0.002526180615145634	-0.002669723196563609	0.003783385239653965
GM.5.0.C2H2_ZF.0235	-0.00234104939627889	-0.0026905567784586393	0.002333498567615532
GM.5.0.GATA.0020	-0.00402058661548177	-0.0025142320509761477	0.003173643857592627
GM.5.0.STAT.0014	-0.0023568966200821053	-0.0028369280103894712	0.005388418902541825
GM.5.0.Unknown.0093	-0.00598251102464684	-0.0025630124228435596	0.0031505208862543225
GM.5.0.GATA.0015	-0.003882728644356372	-0.0025209315269537286	0.003145702237911257
GM.5.0.C2H2_ZF.0200	-0.0022830312890822937	-0.0027937578155567454	0.002472828573378603
GM.5.0.Unknown.0020	-0.0021755553513915964	-0.0034663261227419256	0.002031765285025305
GM.5.0.C2H2_ZF.0195	-0.002386244121759573	-0.0028490352702544353	0.005140363982819728
GM.5.0.bHLH.0055	-0.00237333657049465	-0.002624726143685079	0.002679054819268171
GM.5.0.GATA.0023	-0.004443116662368777	-0.0025810933807754277	0.0026066562072756903
GM.5.0.Homeodomain.0125	-0.002334357598525143	-0.0024854662131801575	0.0023213934939159573
GM.5.0.bHLH.0100	-0.00316697910191577	-0.0024785190625365577	0.0027737498929624065
GM.5.0.Sox.0016	-0.002376397343355577	-0.003037347711678192	0.002474909715724736
GM.5.0.Unknown.0065	-0.0024173173799751377	-0.0018515826833067634	0.002079373371209491
GM.5.0.Homeodomain.0085	-0.0022811303049447406	-0.002896538996544393	0.0022547272549967574
GM.5.0.Unknown.0036	-0.0023630956840333794	-0.002530506349670295	0.0024175814137827587
GM.5.0.Mixed.0073	-0.002224203357054322	-0.00268936206648191	0.002457004155656584
GM.5.0.C2H2_ZF.0112	-0.002415302269924004	-0.0026876193917073203	0.0024331390507789747
GM.5.0.SAND.0007	-0.0023492993513426303	-0.002651103928087274	0.0021768308412152284
GM.5.0.C2H2_ZF.0168	-0.002294623812115578	-0.0025331707883812804	0.0022491108225774423
GM.5.0.Rel.0016	-0.002234684306167288	-0.0030079813027139367	0.002406189724136413
GM.5.0.Mixed.0017	-0.0023089099885721964	-0.002861503760189181	0.003776055156958989
GM.5.0.Forkhead.0024	-0.002282832740875457	-0.0029956096701509076	0.0030850276441954424
GM.5.0.IRF.0012	-0.002281610931282666	-0.004678176139204457	0.003302472113253762
GM.5.0.Mixed.0075	-0.002388775026222664	-0.003232983189715193	0.006863075225926513
GM.5.0.C2H2_ZF_Homeodomain.0002	0.0021869548663058357	0.003126888598381257	0.0015540188097687604
GM.5.0.Unknown.0122	-0.0032748105342590194	-0.0024023978111665867	0.0028423914772616275
GM.5.0.Forkhead.0015	-0.0022645518724544217	-0.0031556582688846667	0.0027401997237662184
GM.5.0.THAP_finger.0004	-0.0025312972174246994	-0.0025266134964173816	0.006471960325827367
GM.5.0.Sox.0027	-0.0023377731867494896	-0.002759980718956036	0.002662286550316792
GM.5.0.C2H2_ZF.0272	-0.002387978568811807	-0.002733138636478452	0.002852659774314223
GM.5.0.MADS_box.0004	-0.0063377113284941436	-0.0027134932514479167	0.008918336260474273
GM.5.0.Forkhead.0042	-0.0022251497118545844	-0.0027330907074740686	0.0028934670882082574
GM.5.0.GCM.0003	-0.0020849633357484516	-0.0026856104704240337	0.0021453693901083027
GM.5.0.MADS_box.0018	-0.0025211051717893844	-0.0026555422328538437	0.003899456601980331
GM.5.0.T-box.0021	-0.002269468156486187	-0.0025330908206932378	0.0024631883475612856
GM.5.0.C2H2_ZF.0252	-0.0023324062319858905	-0.002851452117949906	0.002911323646625632
GM.5.0.Nuclear_receptor.0063	-0.002201679284496765	-0.0028122829696860248	0.0032441737172715316
GM.5.0.TEA.0003	-0.0022929643941356367	-0.002697982679535778	0.0026386603390435516
GM.5.0.Mixed.0100	-0.0023290195924697806	-0.00262319888707646	0.002668310184492662
GM.5.0.GATA.0006	-0.0026213639767120626	-0.0025755163267285703	0.002914341955985178
GM.5.0.MADS_box.0015	-0.002743487931116893	-0.0024597283397844215	0.0025624426751067486
GM.5.0.DM.0008	-0.002315698087123546	-0.0028034520504479844	0.003396010471109682
GM.5.0.Unknown.0079	-0.0019213500843364574	-0.002545707378130995	0.0015631520436159784
GM.5.0.HSF.0004	-0.002352626155651921	-0.0026519373629660895	0.002667408068303759
GM.5.0.C2H2_ZF.0162	-0.014845425316778111	-0.004085965587943196	0.004738953942817229
GM.5.0.T-box.0022	-0.002418634529367962	-0.003543386448933728	0.0023988795292550534
GM.5.0.Mixed.0106	-0.0023383982916106998	-0.0024372078937888826	0.002428508819483308
GM.5.0.Mixed.0056	-0.0026369345047715926	-0.002494775571539593	0.0031327911855839113
GM.5.0.bZIP.0092	-0.002264723868240226	-0.002600166526534855	0.002773831676877251
GM.5.0.Homeodomain.0010	-0.002619686538576404	-0.002413515710796205	0.0023680337027259467
GM.5.0.Mixed.0048	-0.0023688451986622412	-0.0027563268769084256	0.0021433809644971703
GM.5.0.C2H2_ZF.0039	-0.002358263607335656	-0.0028514647323358688	0.0026378763712791888
GM.5.0.C2H2_ZF.0208	-0.002331040670866991	-0.0025681939157084287	0.0025850337342406484
GM.5.0.C2H2_ZF.0232	-0.0022849810588910797	-0.003050824690754664	0.002659451170115828
GM.5.0.Unknown.0186	-0.0024662322236990862	-0.0024668081732882445	0.0022531444656172126
GM.5.0.Nuclear_receptor.0086	-0.002799367914270963	-0.0027003560429795046	0.0026558652768230214
GM.5.0.C2H2_ZF.0147	-0.0022732241439638603	-0.0034637109362587334	0.002320072375335652
GM.5.0.Rel.0020	-0.0024219529157672717	-0.002688256311166471	0.002292519645342708
GM.5.0.Unknown.0148	-0.0021677372604450946	-0.00307460557183318	0.002515797807753551
GM.5.0.bZIP.0079	-0.0022236697242281737	-0.00336871031121726	0.0024683315953134034
GM.5.0.bHLH.0113	-0.0024061498579569986	-0.003179278979482467	0.002234770255406605
GM.5.0.Nuclear_receptor.0128	-0.0024602039893631177	-0.002442441430376011	0.0025339677041008295
GM.5.0.STAT.0015	-0.002304951001451493	-0.005023831682485444	0.002904582220641274
GM.5.0.MBD.0003	0.003128477963720966	-0.005557718802752317	0.002623970847064523
GM.5.0.p53.0005	-0.002288748072934197	-0.0027372308238515514	0.0027358469276014775
GM.5.0.Unknown.0172	-0.0022101954292574316	-0.002780977366296281	0.0023402134124241745
GM.5.0.C2H2_ZF.0070	-0.0022706458005350726	-0.0030539031332196247	0.0025932111219582827
GM.5.0.Unknown.0034	-0.002241897860176767	-0.0029701940606869383	0.002288501246705155
GM.5.0.Paired_box.0002	-0.0022055781235534254	-0.0029055083037439343	0.006452974890110841
GM.5.0.C2H2_ZF.0314	-0.002432837393125263	-0.004217874485083847	0.0028024423821681028
GM.5.0.IRF.0008	-0.0022835980639052435	-0.0029078071989682964	0.002325690314011022
GM.5.0.Homeodomain.0184	-0.0034354602102928487	-0.0022565693223494544	0.0021258851096662974
GM.5.0.Homeodomain.0113	-0.002740593564439741	-0.002647609185516841	0.0028269436139327906
GM.5.0.Unknown.0056	-0.0037331411265033466	-0.0024782773560479143	0.0034193191264851445
GM.5.0.C2H2_ZF.0174	-0.0026427770738105443	-0.004665919486554883	0.0022254202782465977
GM.5.0.Unknown.0119	-0.0023670317521594666	-0.0026525986843138035	0.002360317002003842
GM.5.0.bZIP.0082	-0.0022744157954964826	-0.0032979157118941936	0.002559466111343685
GM.5.0.bHLH.0126	-0.002324097617231442	-0.002704027875633411	0.0030165176206307155
GM.5.0.Homeodomain.0138	-0.002308495433594498	-0.002051103694679057	0.0018895913394978779
GM.5.0.Unknown.0074	-0.002481553966554868	-0.002750168219656966	0.004235016845936395
GM.5.0.Myb_SANT.0006	-0.002386730499080991	-0.002705483784414731	0.002159168431479643
GM.5.0.C2H2_ZF.0165	-0.0025050255120464475	-0.0025210065634520083	0.0026726561900060593
GM.5.0.Unknown.0139	-0.0022648466228172817	-0.0032378862039451227	0.002856327118052094
GM.5.0.Mixed.0063	-0.0023314769212394344	-0.0026996040523729987	0.0032140688807143435
GM.5.0.Forkhead.0037	-0.002335566976517395	-0.002761831668148435	0.003103933416182474
GM.5.0.Unknown.0085	-0.0030425819047812798	-0.0024669879399157853	0.002538069771707289
GM.5.0.Forkhead.0031	-0.0022400117313385597	-0.0026923986288736102	0.006164289585407374
GM.5.0.STAT.0019	-0.0022503049179494754	-0.0033686327165968395	0.0033833001606706392
GM.5.0.T-box.0002	-0.002668653013853195	-0.0025337871681843306	0.002926562103086111
GM.5.0.bHLH.0108	-0.006378441672460953	-0.0026667657147389236	0.004492870615497078
GM.5.0.Unknown.0005	-0.0022931105921093612	-0.0030504723136605765	0.0027414849769080707
GM.5.0.C2H2_ZF.0124	-0.0023706499582601	-0.002931587280580071	0.0024694174905517726
GM.5.0.Nuclear_receptor.0090	-0.001711792872843094	-0.0019004437585291825	0.0015815281321999144
GM.5.0.bHLH.0111	-0.002292877068088546	-0.0032191395330574287	0.002616133661081157
GM.5.0.Nuclear_receptor.0069	-0.0023647886685771464	-0.0026394558828661567	0.0024915339677994914
GM.5.0.Mixed.0074	-0.0021802280894488756	-0.003643311692677747	0.0041153720568800935
GM.5.0.Nuclear_receptor.0144	-0.0025777621188880374	-0.002557690395884309	0.005375389636068021
GM.5.0.C2H2_ZF.0210	-0.0018857455700456256	0.0020983577120625018	0.0017956518264153184
GM.5.0.Unknown.0075	-0.0023228394306539523	-0.0027230669409342074	0.004401250813320185
GM.5.0.Sox.0030	-0.002305105551835214	-0.0026835004906355553	0.003657965507449734
GM.5.0.bZIP.0084	-0.002428305072008993	-0.0027626874773855055	0.0026966064047549802
GM.5.0.Homeodomain_POU.0021	-0.0023658995266512078	-0.0027410785563854218	0.0024631603584237506
GM.5.0.Ets.0019	-0.002395260874779803	-0.00563681214336215	0.0025948189439741177
GM.5.0.C2H2_ZF.0170	-0.0023189486714079058	-0.002891177756782855	0.0025092949209046065
GM.5.0.Unknown.0050	-0.007648999660816704	-0.002660829479378527	0.003914882920691403
GM.5.0.bZIP.0034	-0.0024619140867695494	-0.003469039245233149	0.002300827999879089
GM.5.0.Mixed.0031	-0.002229492339700933	-0.003962853900586958	0.004239277963707864
GM.5.0.Myb_SANT.0007	-0.002281721173670679	-0.0033531587506196105	0.0024633384665921085
GM.5.0.Mixed.0087	-0.0027938522227943714	-0.002493544706810566	0.0036404357391768283
GM.5.0.Homeodomain.0052	-0.0037925815445399875	-0.002456623395124613	0.003742504670374432
GM.5.0.C2H2_ZF.0136	-0.002664084268507702	-0.0031088493778648574	0.0026490142055830184
GM.5.0.Sox.0005	-0.0022893318275765354	-0.0028630442951726527	0.002372950154726315
GM.5.0.Mixed.0061	-0.0022672979285035797	-0.005244813279915341	0.0031750596356058137
GM.5.0.ARID_BRIGHT.0003	-0.002250905846142748	-0.00261841823794002	0.0022635639363341076
GM.5.0.Unknown.0089	-0.0017275758699676507	-0.001649951109755956	0.0012333961834641932
GM.5.0.E2F.0012	-0.0028805227635040347	-0.004997302545974311	0.002393415635526275
GM.5.0.C2H2_ZF.0172	-0.0023320769524910944	-0.003425566536113595	0.002002276206765142
GM.5.0.Unknown.0183	-0.0035416972842498688	-0.0024891256770872986	0.00382830052390501
GM.5.0.Homeodomain.0133	-0.0021739093090144645	-0.0029530582238145053	0.002325181234734029
GM.5.0.Homeodomain.0160	-0.0021812460543148885	-0.0028656294413129135	0.0024927750901955845
GM.5.0.bHLH.0083	-0.0025096023012852746	-0.002476729217849223	0.0020756770126588724
GM.5.0.HSF.0003	-0.0022776547552114525	-0.0030104389359840505	0.0025204603153245312
GM.5.0.Nuclear_receptor.0079	-0.0023355732363573253	-0.0031186461511380154	0.004280486444522576
GM.5.0.C2H2_ZF.0108	-0.0023741112378811015	-0.0024886560620509374	0.0022675982639469346
GM.5.0.C2H2_ZF.0078	-0.002278342605808137	-0.0028919640563868847	0.0026972338531504876
GM.5.0.C2H2_ZF.0088	-0.002343017941588649	-0.0026541536296262784	0.003004617453315551
GM.5.0.Nuclear_receptor.0109	-0.0024463334265836852	-0.0025759312307854555	0.0032152831324030857
GM.5.0.bZIP.0038	-0.002190774179673969	-0.0026878058663217593	0.0022583697693546747
GM.5.0.E2F.0005	-0.002444428667809195	-0.0029048718503827215	0.003220498457492264
GM.5.0.Homeodomain.0056	-0.012045617917404237	-0.0036675034139354613	0.004384116731755304
GM.5.0.Homeodomain.0198	-0.0023194576992979633	-0.0027754931717083255	0.0026400266734036004
GM.5.0.Paired_box.0022	-0.002050546492567637	-0.002579174781027288	0.0019002809027308205
GM.5.0.Forkhead.0048	-0.0026226804950683137	-0.0025186409645577192	0.0037392472692571376
GM.5.0.STAT.0004	-0.0022966624887829647	-0.004465954950384088	0.0034261732789474535
GM.5.0.bHLH.0136	-0.002599433164946088	-0.0022547238083269992	0.0023752212231417233
GM.5.0.Homeodomain_POU.0023	-0.002243048154032874	-0.0026819927525957056	0.002504516859699435
GM.5.0.Homeodomain.0188	-0.002808919342103719	-0.0024332730058485045	0.00268390921218567
GM.5.0.Ets.0031	-0.0024197179848147697	-0.0025607894822349	0.0024877381211287283
GM.5.0.GATA.0024	-0.002002458707303909	-0.002237574810941743	0.002407302783792067
GM.5.0.bZIP.0065	-0.0022115307838637653	-0.003204172329270648	0.0027708364603529017
GM.5.0.Mixed.0050	-0.002288200571420615	-0.0030932406162180346	0.0052439059804916975
GM.5.0.bHLH.0119	-0.002999333922559062	-0.002431584401352505	0.00408389578576459
GM.5.0.bHLH.0062	-0.010059468665303899	-0.00379258476570136	0.008897493695273838
GM.5.0.Unknown.0109	-0.002221018449697419	-0.0034715752791896555	0.0041366148872599455
GM.5.0.bZIP.0076	-0.0022580369051912403	-0.0028162518353013056	0.002670729061396563
GM.5.0.bHLH.0028	-0.02447733495097556	0.009372128868882685	0.011503418196209729
GM.5.0.Homeodomain.0033	-0.0023291136641785675	-0.00559004917813857	0.002439820557647407
GM.5.0.Unknown.0140	-0.0025870610230809953	-0.00663010601807362	0.002184942469184399
GM.5.0.C2H2_ZF.0243	-0.002732644333182474	-0.002680291105974621	0.002097365924348334
GM.5.0.Nuclear_receptor.0094	-0.0025446117727474056	-0.0025720860890925397	0.00576260182356977
GM.5.0.Forkhead.0044	-0.002176357121789369	-0.0035771248442629557	0.0031522108691923955
GM.5.0.GATA.0004	0.001996335729789854	0.0019342438092838045	0.0015192538916614948
GM.5.0.C2H2_ZF.0105	-0.0023021132303792146	-0.00471314932140008	0.002296533938251905
GM.5.0.Unknown.0057	-0.0025977451743428837	-0.0026195127489826984	0.004840867923376708
GM.5.0.Unknown.0009	-0.002583007548749649	-0.004676509458206049	0.002491274697721176
GM.5.0.bZIP.0020	-0.0023783316998594916	-0.003722304057529393	0.0024760437458184147
GM.5.0.Unknown.0198	-0.0030102364474236536	-0.0024657224151404143	0.0030472068533922364
GM.5.0.Unknown.0073	-0.0024011565705127466	-0.005971790588889929	0.00213331914189018
GM.5.0.Nuclear_receptor.0121	-0.0029848667894508884	-0.0026497255143126458	0.004125874152671002
GM.5.0.C2H2_ZF.0036	-0.0022291543972683455	-0.0029152580148298513	0.0025317230335659057
GM.5.0.Homeodomain.0130	-0.002148123198141931	-0.0027515082156056732	0.002281937510836884
GM.5.0.TBP.0001	-0.002184439286504813	-0.00330579232555059	0.0021132726553357976
GM.5.0.Homeodomain.0151	-0.002367266765374822	-0.0029212625960166353	0.0024106009592453543
GM.5.0.C2H2_ZF.0183	-0.0026507966041298585	-0.0039172959936135425	0.002245967648586251
GM.5.0.bZIP.0041	-0.002408161857575671	-0.002490397751172815	0.0021185324318804878
GM.5.0.Mixed.0080	0.0031588495512010623	0.0015234349775606634	0.0015773347015755163
GM.5.0.Forkhead.0047	-0.0027012580410546157	-0.0025945496602234187	0.0028349258933370097
GM.5.0.Mixed.0034	-0.0023565549672980857	-0.003213557005946164	0.002463026101386593
GM.5.0.Forkhead.0013	-0.002316325896191761	-0.004257103388066025	0.0028723780314853387
GM.5.0.C2H2_ZF.0229	-0.0030454859035386568	-0.002486438263929849	0.0029561308523233117
GM.5.0.RFX.0002	-0.003272138526249771	-0.002484692343731787	0.002718691307986254
