# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/K27ac_at_FOXg1_peaks_maelstrom.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	cluster_1	cluster_2	cluster_3	cluster_4
GM.5.0.Rel.0008	-0.0	-0.0	-0.0	28.843380687055248
GM.5.0.Nuclear_receptor.0111	-0.0	-0.0	-0.0	31.722717809362397
GM.5.0.C2H2_ZF.0203	-0.0	-0.0	-0.0	61.83095358248131
GM.5.0.Unknown.0190	-0.0	-0.0	-0.0	47.73570677574034
GM.5.0.EIN3.0001	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0010	-0.0	-0.0	-0.0	57.32717916515067
GM.5.0.Nuclear_receptor.0085	-0.0	-0.0	-0.0	41.484294203368506
GM.5.0.C2H2_ZF.0197	-0.0	-0.0	-0.0	30.574507092678438
GM.5.0.Paired_box.0013	-0.0	-0.0	-0.0	-0.0
GM.5.0.Mixed.0007	-0.0	-0.0	-0.0	-0.0
GM.5.0.bHLH.0075	-0.0	-0.0	-0.0	69.16520461697263
GM.5.0.Mixed.0047	-0.0	-0.0	-0.0	82.23291739989718
GM.5.0.GCM.0004	-0.0	-0.0	-0.0	42.04649041274536
GM.5.0.Mixed.0055	-0.0	-0.0	-0.0	30.574507092678438
GM.5.0.Nuclear_receptor.0131	-0.0	-0.0	-0.0	45.46050059194577
GM.5.0.Nuclear_receptor.0115	-0.0	-0.0	-0.0	38.0445427774213
GM.5.0.Unknown.0141	-0.0	-0.0	-0.0	49.42597521359707
GM.5.0.C2H2_ZF.0209	-0.0	-0.0	-0.0	50.54556365019171
GM.5.0.Ets.0043	-0.0	-0.0	-0.0	25.388030221975146
GM.5.0.Nuclear_receptor.0100	-0.0	-0.0	-0.0	40.3414439679639
GM.5.0.Mixed.0065	-0.0	-0.0	-0.0	35.749578921640015
GM.5.0.bHLH.0105	-0.0	-0.0	-0.0	103.8846186980885
GM.5.0.C2H2_ZF.0083	-0.0	-0.0	-0.0	41.484294203368506
GM.5.0.STAT.0025	-0.0	-0.0	-0.0	31.722717809362397
GM.5.0.C2H2_ZF.0039	-0.0	-0.0	-0.0	23.655439093992648
GM.5.0.Unknown.0138	-0.0	-0.0	-0.0	46.0266560767202
GM.5.0.C2H2_ZF.0298	-0.0	-0.0	-0.0	49.987695592859424
GM.5.0.Zinc_cluster.0001	-0.0	-0.0	-0.0	41.484294203368506
GM.5.0.C2H2_ZF.0080	-0.0	-0.0	-0.0	48.863584378327815
GM.5.0.Unknown.0105	-0.0	-0.0	-0.0	34.02616649247083
GM.5.0.Nuclear_receptor.0118	-0.0	-0.0	-0.0	34.600952759127914
GM.5.0.Unknown.0169	-0.0	-0.0	-0.0	47.73570677574034
GM.5.0.C2H2_ZF.0147	-0.0	-0.0	-0.0	34.600952759127914
GM.5.0.T-box.0012	-0.0	-0.0	-0.0	56.763722869396666
GM.5.0.Prospero.0001	-0.0	-0.0	-0.0	56.201867354357915
GM.5.0.C2H2_ZF.0146	-0.0	-0.0	-0.0	36.32339837234824
GM.5.0.Homeodomain.0153	-0.0	-0.0	-0.0	59.02918285527288
GM.5.0.Nuclear_receptor.0081	-0.0	-0.0	-0.0	28.268414953227715
GM.5.0.Nuclear_receptor.0116	-0.0	-0.0	-0.0	49.42597521359707
GM.5.0.Forkhead.0055	-0.0	-0.0	-0.0	64.11642337664873
GM.5.0.Ets.0038	-0.0	-0.0	-0.0	31.149432414647315
GM.5.0.Unknown.0015	-0.0	-0.0	-0.0	46.59735461457746
GM.5.0.TEA.0005	-0.0	-0.0	-0.0	48.29790968252548
GM.5.0.Paired_box.0018	-0.0	-0.0	-0.0	49.42597521359707
GM.5.0.C2H2_ZF.0286	-0.0	-0.0	-0.0	107.87269444589948
GM.5.0.HSF.0008	-0.0	-0.0	-0.0	36.32339837234824
GM.5.0.STAT.0015	-0.0	-0.0	-0.0	37.47088185672574
GM.5.0.Nuclear_receptor.0007	-0.0	-0.0	-0.0	51.11534570818544
GM.5.0.C2H2_ZF.0276	-0.0	-0.0	-0.0	59.58795973868357
GM.5.0.Mixed.0103	-0.0	-0.0	-0.0	48.863584378327815
GM.5.0.C2H2_ZF.0307	-0.0	-0.0	-0.0	40.3414439679639
GM.5.0.Forkhead.0042	-0.0	-0.0	-0.0	102.74622275229481
GM.5.0.STAT.0016	-0.0	-0.0	-0.0	48.863584378327815
GM.5.0.bZIP.0032	-0.0	-0.0	-0.0	40.91293119414925
GM.5.0.Unknown.0062	-0.0	-0.0	-0.0	32.29757640732177
GM.5.0.GATA.0025	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0123	-0.0	-0.0	-0.0	44.89960940943883
GM.5.0.CSD.0001	-0.0	-0.0	-0.0	46.0266560767202
GM.5.0.C2H2_ZF.0079	-0.0	-0.0	-0.0	-0.0
GM.5.0.SMAD.0007	-0.0	-0.0	-0.0	59.58795973868357
GM.5.0.C2H2_ZF.0256	-0.0	-0.0	-0.0	40.91293119414925
GM.5.0.Nuclear_receptor.0099	-0.0	-0.0	-0.0	44.330399476414335
GM.5.0.C2H2_ZF.0284	-0.0	-0.0	-0.0	99.9054375755059
GM.5.0.Homeodomain.0149	-0.0	-0.0	-0.0	44.89960940943883
GM.5.0.Sox.0001	-0.0	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0108	-0.0	-0.0	-0.0	49.987695592859424
GM.5.0.C2H2_ZF.0181	-0.0	-0.0	-0.0	44.89960940943883
GM.5.0.Unknown.0042	-0.0	-0.0	-0.0	45.46050059194577
GM.5.0.bHLH.0109	-0.0	-0.0	-0.0	48.29790968252548
GM.5.0.Mixed.0017	-0.0	-0.0	-0.0	49.42597521359707
GM.5.0.SAND.0006	-0.0	-0.0	-0.0	32.29757640732177
GM.5.0.Unknown.0202	-0.0	-0.0	-0.0	39.76891019586513
GM.5.0.Ets.0032	-0.0	-0.0	-0.0	25.388030221975146
GM.5.0.Paired_box.0020	-0.0	-0.0	-0.0	63.54360512622008
GM.5.0.Forkhead.0024	-0.0	-0.0	-0.0	48.29790968252548
GM.5.0.Runt.0006	-0.0	-0.0	-0.0	43.757756555270866
GM.5.0.RFX.0012	-0.0	-0.0	-0.0	35.17315746996257
GM.5.0.C2H2_ZF.0132	-0.0	-0.0	-0.0	42.04649041274536
GM.5.0.Nuclear_receptor.0056	-0.0	-0.0	-0.0	44.89960940943883
GM.5.0.HSF.0009	-0.0	-0.0	-0.0	61.2729359447312
GM.5.0.Unknown.0072	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0177	-0.0	-0.0	-0.0	48.863584378327815
GM.5.0.Nuclear_receptor.0095	-0.0	-0.0	-0.0	27.119932825330636
GM.5.0.Homeodomain.0053	-0.0	-0.0	-0.0	47.73570677574034
GM.5.0.Nuclear_receptor.0059	-0.0	-0.0	-0.0	24.811488269411047
GM.5.0.Unknown.0065	-0.0	-0.0	-0.0	80.51131181019605
GM.5.0.C2H2_ZF.0216	-0.0	-0.0	-0.0	60.1457132384825
GM.5.0.Unknown.0127	-0.0	-0.0	-0.0	39.76891019586513
GM.5.0.bZIP.0084	-0.0	-0.0	-0.0	40.3414439679639
GM.5.0.Mixed.0005	-0.0	-0.0	-0.0	51.6766535613057
GM.5.0.C2H2_ZF.0154	-0.0	-0.0	-0.0	32.871583013548424
GM.5.0.C2H2_ZF.0236	-0.0	-0.0	-0.0	64.11642337664873
GM.5.0.C2H2_ZF.0178	-0.0	-0.0	-0.0	50.54556365019171
GM.5.0.Forkhead.0057	-0.0	-0.0	-0.0	59.02918285527288
GM.5.0.bHLH.0078	-0.0	-0.0	-0.0	42.04649041274536
GM.5.0.Forkhead.0041	-0.0	-0.0	-0.0	45.46050059194577
GM.5.0.bZIP.0075	-0.0	-0.0	-0.0	62.98045517992967
GM.5.0.Mixed.0109	-0.0	-0.0	-0.0	35.17315746996257
GM.5.0.C2H2_ZF.0283	-0.0	-0.0	-0.0	43.757756555270866
GM.5.0.C2H2_ZF.0092	-0.0	-0.0	-0.0	59.58795973868357
GM.5.0.C2H2_ZF.0219	-0.0	-0.0	-0.0	49.987695592859424
GM.5.0.Mixed.0042	-0.0	-0.0	-0.0	58.467057223487366
GM.5.0.Mixed.0035	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0107	-0.0	-0.0	-0.0	31.149432414647315
GM.5.0.Nuclear_receptor.0102	-0.0	-0.0	-0.0	58.467057223487366
GM.5.0.GATA.0018	-0.0	-0.0	-0.0	53.3816762060047
GM.5.0.bZIP.0069	-0.0	-0.0	-0.0	51.6766535613057
GM.5.0.Homeodomain_POU.0018	-0.0	-0.0	-0.0	36.32339837234824
GM.5.0.Mixed.0022	-0.0	-0.0	-0.0	47.17039051289171
GM.5.0.RFX.0007	-0.0	-0.0	-0.0	27.692657976057696
GM.5.0.bHLH.0088	-0.0	-0.0	-0.0	42.04649041274536
GM.5.0.bZIP.0082	-0.0	-0.0	-0.0	42.04649041274536
GM.5.0.Mixed.0105	-0.0	-0.0	-0.0	56.763722869396666
GM.5.0.Nuclear_receptor.0050	-0.0	-0.0	-0.0	36.896286497145745
GM.5.0.Grainyhead.0006	-0.0	-0.0	-0.0	53.95007586482705
GM.5.0.C2H2_ZF.0106	-0.0	-0.0	-0.0	113.58734971680244
GM.5.0.bZIP.0061	-0.0	-0.0	-0.0	59.58795973868357
GM.5.0.Unknown.0193	-0.0	-0.0	-0.0	26.54187000954226
GM.5.0.STAT.0008	-0.0	-0.0	-0.0	51.11534570818544
GM.5.0.Mixed.0006	-0.0	-0.0	-0.0	29.420680703774945
GM.5.0.CxxC.0001	-0.0	-0.0	-0.0	55.0761959612621
GM.5.0.Homeodomain.0146	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0239	-0.0	-0.0	-0.0	36.32339837234824
GM.5.0.Unknown.0185	-0.0	-0.0	-0.0	46.0266560767202
GM.5.0.C2H2_ZF.0255	-0.0	-0.0	-0.0	66.91997787367193
GM.5.0.SMAD.0018	-0.0	-0.0	-0.0	56.763722869396666
GM.5.0.C2H2_ZF.0192	-0.0	-0.0	-0.0	36.896286497145745
GM.5.0.Homeodomain.0184	-0.0	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0194	-0.0	-0.0	-0.0	37.47088185672574
GM.5.0.Nuclear_receptor.0082	-0.0	-0.0	-0.0	27.119932825330636
GM.5.0.Mixed.0050	-0.0	-0.0	-0.0	60.71391624519107
GM.5.0.Grainyhead.0008	-0.0	-0.0	-0.0	47.17039051289171
GM.5.0.Unknown.0047	-0.0	-0.0	-0.0	24.811488269411047
GM.5.0.C2H2_ZF.0012	-0.0	-0.0	-0.0	90.17214241586164
GM.5.0.Mixed.0031	-0.0	-0.0	-0.0	30.574507092678438
GM.5.0.Paired_box.0017	-0.0	-0.0	-0.0	41.484294203368506
GM.5.0.GATA.0022	-0.0	-0.0	-0.0	31.149432414647315
GM.5.0.Nuclear_receptor.0069	-0.0	-0.0	-0.0	56.201867354357915
GM.5.0.C2H2_ZF.0114	-0.0	-0.0	-0.0	47.17039051289171
GM.5.0.C2H2_ZF.0151	-0.0	-0.0	-0.0	53.95007586482705
GM.5.0.Unknown.0017	-0.0	-0.0	-0.0	74.24241119546708
GM.5.0.Grainyhead.0001	-0.0	-0.0	-0.0	58.467057223487366
GM.5.0.C2H2_ZF.0087	-0.0	-0.0	-0.0	-0.0
GM.5.0.Unknown.0044	-0.0	-0.0	-0.0	57.32717916515067
GM.5.0.TEA.0006	-0.0	-0.0	-0.0	44.89960940943883
GM.5.0.Homeodomain.0044	-0.0	-0.0	-0.0	49.42597521359707
GM.5.0.ARID_BRIGHT.0003	-0.0	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0165	-0.0	-0.0	-0.0	43.757756555270866
GM.5.0.Rel.0007	-0.0	-0.0	-0.0	52.81477326663907
GM.5.0.T-box.0014	-0.0	-0.0	-0.0	64.67868142264251
GM.5.0.T-box.0025	-0.0	-0.0	-0.0	89.02580074772773
GM.5.0.p53.0009	-0.0	-0.0	-0.0	38.61814764437174
GM.5.0.C2H2_ZF.0257	-0.0	-0.0	-0.0	42.61430640164958
GM.5.0.GATA.0016	-0.0	-0.0	-0.0	66.91997787367193
GM.5.0.Homeodomain.0195	-0.0	-0.0	-0.0	35.749578921640015
GM.5.0.Homeodomain.0189	-0.0	-0.0	-0.0	76.49459557051567
GM.5.0.Unknown.0066	-0.0	-0.0	-0.0	55.630989314862845
GM.5.0.T-box.0010	-0.0	-0.0	-0.0	48.863584378327815
GM.5.0.CUT_Homeodomain.0010	-0.0	-0.0	-0.0	55.0761959612621
GM.5.0.TEA.0002	-0.0	-0.0	-0.0	48.29790968252548
GM.5.0.bHLH.0084	-0.0	-0.0	-0.0	71.43090121474316
GM.5.0.Nuclear_receptor.0080	-0.0	-0.0	-0.0	47.17039051289171
GM.5.0.Myb_SANT.0007	-0.0	-0.0	-0.0	44.330399476414335
GM.5.0.Unknown.0005	-0.0	-0.0	-0.0	55.0761959612621
GM.5.0.Nuclear_receptor.0063	-0.0	-0.0	-0.0	28.268414953227715
GM.5.0.Homeodomain.0199	-0.0	-0.0	-0.0	39.76891019586513
GM.5.0.Sox.0022	-0.0	-0.0	-0.0	104.99703158403004
GM.5.0.Homeodomain.0132	-0.0	-0.0	-0.0	44.330399476414335
GM.5.0.C2H2_ZF.0202	-0.0	-0.0	-0.0	30.574507092678438
GM.5.0.bZIP.0094	-0.0	-0.0	-0.0	51.11534570818544
GM.5.0.bZIP.0070	-0.0	-0.0	-0.0	42.04649041274536
GM.5.0.C2H2_ZF.0278	-0.0	-0.0	-0.0	45.46050059194577
GM.5.0.Unknown.0018	-0.0	-0.0	-0.0	35.749578921640015
GM.5.0.STAT.0013	-0.0	-0.0	-0.0	34.02616649247083
GM.5.0.SMAD.0009	-0.0	-0.0	-0.0	45.46050059194577
GM.5.0.bHLH.0086	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0149	-0.0	-0.0	-0.0	-0.0
GM.5.0.RFX.0014	-0.0	-0.0	-0.0	52.24239580998035
GM.5.0.Paired_box.0010	-0.0	-0.0	-0.0	49.987695592859424
GM.5.0.THAP_finger.0006	-0.0	-0.0	-0.0	72.54893875586461
GM.5.0.ARID_BRIGHT.0005	-0.0	-0.0	-0.0	-0.0
GM.5.0.Unknown.0077	-0.0	-0.0	-0.0	136.48220514640244
GM.5.0.bHLH.0061	-0.0	-0.0	-0.0	69.16520461697263
GM.5.0.C2H2_ZF.0249	-0.0	-0.0	-0.0	48.863584378327815
GM.5.0.bZIP.0076	-0.0	-0.0	-0.0	41.484294203368506
GM.5.0.C2H2_ZF.0157	-0.0	-0.0	-0.0	54.512476542993966
GM.5.0.C2H2_ZF.0069	-0.0	-0.0	-0.0	86.2437728005868
GM.5.0.MADS_box.0016	-0.0	-0.0	-0.0	44.89960940943883
GM.5.0.C2H2_ZF.0240	-0.0	-0.0	-0.0	35.749578921640015
GM.5.0.SMAD.0015	-0.0	-0.0	-0.0	51.11534570818544
GM.5.0.Sox.0017	-0.0	-0.0	-0.0	64.11642337664873
GM.5.0.bZIP.0079	-0.0	-0.0	-0.0	49.42597521359707
GM.5.0.Nuclear_receptor.0090	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0226	-0.0	-0.0	-0.0	59.02918285527288
GM.5.0.GATA.0028	-0.0	-0.0	-0.0	51.11534570818544
GM.5.0.Ets.0018	-0.0	-0.0	-0.0	-0.0
GM.5.0.Unknown.0103	-0.0	-0.0	-0.0	65.80484078625975
GM.5.0.Forkhead.0048	-0.0	-0.0	-0.0	65.80484078625975
GM.5.0.Unknown.0074	-0.0	-0.0	-0.0	41.484294203368506
GM.5.0.HSF.0003	-0.0	-0.0	-0.0	39.19261779981447
GM.5.0.Unknown.0034	-0.0	-0.0	-0.0	35.17315746996257
GM.5.0.Homeodomain.0118	-0.0	-0.0	-0.0	-0.0
GM.5.0.bHLH.0129	-0.0	-0.0	-0.0	41.484294203368506
GM.5.0.Rel.0005	-0.0	-0.0	-0.0	62.98045517992967
GM.5.0.T-box.0022	-0.0	-0.0	-0.0	38.0445427774213
GM.5.0.T-box.0023	-0.0	-0.0	-0.0	56.201867354357915
GM.5.0.Unknown.0098	-0.0	-0.0	-0.0	29.997986300724083
GM.5.0.Homeodomain_POU.0004	-0.0	-0.0	-0.0	65.23280847625249
GM.5.0.Mixed.0057	-0.0	-0.0	-0.0	61.2729359447312
GM.5.0.bZIP.0091	-0.0	-0.0	-0.0	60.71391624519107
GM.5.0.C2H2_ZF.0238	-0.0	-0.0	-0.0	46.0266560767202
GM.5.0.bZIP.0102	-0.0	-0.0	-0.0	68.0348734059827
GM.5.0.HSF.0006	-0.0	-0.0	-0.0	49.987695592859424
GM.5.0.Paired_box.0011	-0.0	-0.0	-0.0	39.76891019586513
GM.5.0.C2H2_ZF.0075	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0251	-0.0	-0.0	-0.0	42.61430640164958
GM.5.0.Sox.0024	-0.0	-0.0	-0.0	49.42597521359707
GM.5.0.Paired_box.0001	-0.0	-0.0	-0.0	54.512476542993966
GM.5.0.C2H2_ZF.0282	-0.0	-0.0	-0.0	37.47088185672574
GM.5.0.C2H2_ZF_Homeodomain.0003	-0.0	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0112	-0.0	-0.0	-0.0	41.484294203368506
GM.5.0.C2H2_ZF.0056	-0.0	-0.0	-0.0	95.34908266124845
GM.5.0.MADS_box.0011	-0.0	-0.0	-0.0	86.79159098565505
GM.5.0.AT_hook.0002	-0.0	-0.0	-0.0	60.1457132384825
GM.5.0.Nuclear_receptor.0145	-0.0	-0.0	-0.0	47.17039051289171
