# GimmeMotifs version 0.16.1
# Inputfile: /home/ia1014/gimmemotifs/output/cluster_2denovo/input.w200.bed
Motif	best_match	best_match_pvalue	enr_at_fpr	fraction_fpr	ks_pvalue	ks_significance	max_enrichment	max_fmeasure	mncp	num_cluster	phyper_at_fpr	pr_auc	recall_at_fdr	roc_auc	roc_auc_xlim	score_at_fpr	stars
GimmeMotifs_1		6.216241965617542e-10	7.5409836065573765	0.17898832684824903	0.005736204769566697	2.2413753537305015	16.0	0.7500818866688503	3.248998604564804	33	9.36868568016485e-22	0.29016373634698667	0.007782101167315175	0.7890520674045027	0.027085232176111678	1.848375973953024	1
GimmeMotifs_2		5.752858726615351e-06	2.692307692307692	0.027237354085603113	0.40599087725923144	0.3914837250446987	15.0	0.6743969079035054	1.528989754115845	3	0.025758228755082477	0.13907299314860638	0.011673151750972763	0.6023535556935002	0.009599691138397249	2.3523447541547435	0
GimmeMotifs_3	GM.5.0.C2H2	0.00307505247897788	3.076923076923077	0.0311284046692607	0.021487684121151058	1.6678103889572558	10.0	0.6689621249385146	1.6255968122004447	1	0.009371167945410389	0.14778106555696163	0.0038910505836575876	0.6287491105088646	0.011462701933413061	2.7402494459479865	0
GimmeMotifs_4		0.0002908264013530282	3.076923076923077	0.0311284046692607	0.7823535457102188	0.1065969448266256	5.0	0.6739188113557975	1.5226493198457405	3	0.009371167945410389	0.1384226654405219	0.0038910505836575876	0.6112689064179625	0.010740510832866501	2.4960693194276757	0
GimmeMotifs_5		0.003589308789025636	0.7407407407407407	0.007782101167315175	0.3941697233441114	0.40431673746287883	5.0	0.6737120211360633	1.4110256666662997	4	0.7556918873366245	0.12827238956961462	0.0038910505836575876	0.6080841496464746	0.008073551454223383	2.8857653214415135	0
GimmeMotifs_6		0.08872706669879027	2.692307692307692	0.027237354085603113	0.41343810573181106	0.38358949784326735	10.0	0.6732891832229579	1.4551755334863195	1	0.025758228755082477	0.13228868486239267	0.0038910505836575876	0.5990295083952822	0.009002407303668504	2.657305300491604	0
GimmeMotifs_7		1.1780909581204924e-11	2.456140350877193	0.054474708171206226	0.5937562055302879	0.22639183839700885	8.0	0.6696784480467711	1.4909008441019407	3	0.0038729238601249837	0.1333454931350916	0.0038910505836575876	0.5865100152916775	0.009464185680328242	1.6391278873339763	0
GimmeMotifs_8		0.0006113400822841397	1.5384615384615385	0.01556420233463035	0.16612438125474227	0.7795666236152106	5.0	0.6741266375545851	1.2752233865518956	3	0.2883509574987484	0.11592601925251221	0.0038910505836575876	0.582441066480946	0.00703568562733728	2.6232708188487788	0
GimmeMotifs_9		0.18284060594575702	1.5384615384615385	0.01556420233463035	0.9983017435916643	0.0007381703658364769	10.0	0.6724228152799581	1.321953868944583	1	0.2883509574987484	0.12020339743312283	0.0038910505836575876	0.5769489318536238	0.007143938591046042	2.738312584134311	0
GimmeMotifs_10		3.7553152406610835e-06	2.5	0.03501945525291829	7.959520924334822e-05	4.099113071229559	10.0	0.6674457862615245	1.3889564985015035	1	0.01760140432356441	0.12344325422110522	0.0038910505836575876	0.5694832624263804	0.008994573857221943	2.8159371098318537	0
