# GimmeMotifs version 0.16.1
# Inputfile: /home/ia1014/gimmemotifs/input/Galaxy230-[shared_foxg1_neurod1_fasta].fasta
Motif	best_match	best_match_pvalue	enr_at_fpr	fraction_fpr	ks_pvalue	ks_significance	max_enrichment	max_fmeasure	mncp	num_cluster	phyper_at_fpr	pr_auc	recall_at_fdr	roc_auc	roc_auc_xlim	score_at_fpr	stars
GimmeMotifs_1		1.0879189771273445e-08	12.573646145704709	0.12574089754445386	0.0	inf	75.0	0.7702308104869948	4.058837975107074	63	0.0	0.36898264718830437	0.00026460626587637595	0.8378057290893686	0.03422241900648402	2.4534367725746407	2
GimmeMotifs_2		0.28576758268976044	2.178514729229141	0.021785915890488287	9.670959784551142e-17	16.01453042266469	80.0	0.6702123860488229	1.3607677569479077	1	2.1245349113522056e-116	0.12370267547580192	0.0002293254304261925	0.5955578014476036	0.008656289369797699	2.646386526115848	1
GimmeMotifs_3		5.932934887487029e-06	3.884297520661157	0.042284081287044875	8.831489890132327e-164	163.05396602388782	10.0	0.6708541309291957	1.6257060960395122	4	0.0	0.14733088597092495	3.528083545018346e-05	0.6220097454320928	0.012206839833743344	2.4212345006435836	1
GimmeMotifs_4	GM.5.0.C2H2	0.014123302524077674	3.5978835978835977	0.03598645215918713	1.585993141693284e-70	69.79969869503304	25.0	0.6731765388426141	1.612897706777731	1	0.0	0.14662060824987444	1.764041772509173e-05	0.6292769235562331	0.011418262219546784	2.689192516017256	1
GimmeMotifs_5		0.029048657537841027	2.182042688304816	0.02182119672593847	1.256578036117232e-30	29.90081053564065	13.999999999999998	0.6711226382677961	1.3803441692748437	1	5.350813986949324e-117	0.12547451882339888	1.764041772509173e-05	0.6007961618134209	0.00916187331694098	2.7957463596312433	1
GimmeMotifs_6		0.00013352640918395942	1.5813163954763985	0.01589401637030765	3.028050901667172e-25	24.5188368286015	9.888053909116568	0.6708909740596808	1.3176327414619493	8	3.2047034230315875e-34	0.12103336092300979	1.764041772509173e-05	0.6004647723376318	0.007965204291620783	2.036722351910646	1
GimmeMotifs_7		0.09463972732623704	1.5590828924162259	0.015594129268981089	1.4814844234214798e-10	9.829302910405774	10.0	0.6682285466166292	1.1742050651212534	1	7.284700005004222e-32	0.10674570451907736	3.528083545018346e-05	0.5569943558604704	0.006845527718946548	2.7034113474486836	1
GimmeMotifs_8		0.003101416596698603	1.597393448397323	0.0159998588766582	1.0848382546164383e-05	4.964635008694658	10.0	0.6675698277897825	1.1658789838734214	1	8.322739857078287e-36	0.10598921319419694	3.528083545018346e-05	0.5533610909824634	0.006672509430298492	2.7091001596688074	0
GimmeMotifs_9		1.2962772141911216e-05	3.43725397575185	0.038509031893875244	0.0	inf	6.666666666666666	0.7260274999063354	2.2418672435896068	3	0.0	0.20408315832629825	0.0	0.7462098569372828	0.01624130020593299	2.047945293173726	1
GimmeMotifs_10		3.111053669124786e-07	3.210631892422761	0.03272297488004516	1.662098666788604e-70	69.7793431988612	4.944026954558284	0.6872408663159234	1.9234010081433672	5	0.0	0.1764514001202643	0.0	0.687362761516041	0.014879078279382563	2.284380467584249	1
