# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_ATAC_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	ATAC_gain	ATAC_loss
GM.5.0.C2H2_ZF.0165	0.040997509579308256	-0.0
GM.5.0.Sox.0010	0.49069941698237696	-0.0
GM.5.0.C2H2_ZF.0172	-0.0	1.019691224143912
GM.5.0.Myb_SANT.0010	-0.0	0.03275394561936
GM.5.0.Homeodomain.0118	0.27643931518318393	-0.0
GM.5.0.C2H2_ZF.0286	-0.0	0.9683322851436237
GM.5.0.Nuclear_receptor.0063	-0.0	1.183513446680376
GM.5.0.C2H2_ZF.0038	-0.0	1.420788049553864
GM.5.0.bHLH.0075	0.2484508525257922	-0.0
GM.5.0.bHLH.0051	-0.0	0.521530724483413
GM.5.0.Forkhead.0048	-0.0	2.5574789420221378
GM.5.0.Homeodomain.0199	-0.0	0.10524490607712088
GM.5.0.Forkhead.0042	-0.0	0.059186989304704146
GM.5.0.C2H2_ZF.0277	-0.0	1.2386040773031435
GM.5.0.Nuclear_receptor.0065	-0.0	2.727037137673328
GM.5.0.TBP.0003	-0.0	0.22960096638090766
GM.5.0.C2H2_ZF.0208	-0.0	2.5200439767083607
GM.5.0.Homeodomain.0017	0.062090306744897295	-0.0
GM.5.0.C2H2_ZF_Homeodomain.0002	0.7774066600302113	-0.0
GM.5.0.bHLH.0054	-0.0	0.7004078987579293
GM.5.0.Nuclear_receptor.0134	-0.0	2.257665647606595
GM.5.0.bZIP.0076	-0.0	0.8681173651236447
GM.5.0.C2H2_ZF.0236	-0.0	0.4045796762481356
GM.5.0.C2H2_ZF.0257	-0.0	2.64821393927176
GM.5.0.Unknown.0001	-0.0	1.2719698024714579
GM.5.0.Homeodomain_POU.0019	-0.0	0.40767311639669435
GM.5.0.Nuclear_receptor.0044	-0.0	9.334867200589269
GM.5.0.Homeodomain.0187	0.5115500668611008	-0.0
GM.5.0.Homeodomain.0145	0.1623316116929076	-0.0
GM.5.0.Mixed.0061	-0.0	1.2526539505739969
GM.5.0.C2H2_ZF.0293	-0.0	2.149525332450353
GM.5.0.ARID_BRIGHT.0003	-0.0	0.1623316116929076
GM.5.0.Homeodomain.0091	0.59715603459365	-0.0
GM.5.0.Unknown.0110	-0.0	0.14083633922741481
GM.5.0.C2H2_ZF.0268	-0.0	0.2357197580886915
GM.5.0.Forkhead.0018	-0.0	0.0050379884265124445
GM.5.0.Nuclear_receptor.0137	-0.0	2.7193834957276977
GM.5.0.GATA.0020	-0.0	0.2264534472412822
GM.5.0.Homeodomain.0135	-0.0	0.30331367827185585
GM.5.0.STAT.0021	-0.0	1.8913962220721008
GM.5.0.C2H2_ZF.0075	-0.0	1.0159331738763069
GM.5.0.C2H2_ZF.0152	-0.0	2.3780797547517407
GM.5.0.Unknown.0143	-0.0	0.541243094501258
GM.5.0.Grainyhead.0006	0.2006337995670713	-0.0
GM.5.0.C2H2_ZF.0238	-0.0	0.24576957384804837
GM.5.0.C2H2_ZF.0178	-0.0	2.179380617243385
GM.5.0.bHLH.0003	-0.0	2.694841416312645
GM.5.0.C2H2_ZF.0069	-0.0	0.77766064080533
GM.5.0.T-box.0021	-0.0	0.2924102333694559
GM.5.0.C2H2_ZF.0114	-0.0	2.727037137673328
GM.5.0.C2H2_ZF.0080	-0.0	2.8681865148806844
GM.5.0.Nuclear_receptor.0119	-0.0	4.634985663524703
GM.5.0.Homeodomain.0068	0.4042733028313404	-0.0
GM.5.0.STAT.0025	-0.0	2.060529715893723
