symbol	invitro_DIV11	invivo_adult	invivo_embryo
Necab1	1.162197612	1.14285282725191	1.0159255545108
Dlx2	1.222801257	-1.09454310103223	-0.924095700941726
Cacng3	0.83253976	-1.19169722037652	-0.735447075869865
Gad2	1.443302004	-0.841470107811827	-0.7214739650273
Neto1	-0.95814521	-0.904758604300048	-0.676792918679054
Dlx6os1	1.115660717	-0.900411588687348	-0.775648385544253
Slc32a1	0.872209491	-0.770711295662699	-0.640469224308914
Sox2ot	0.738592149	-0.618794417819084	-0.591279617410213
Rnf152	0.647687795	0.720487893462328	0.61079966587899
Dlx5	0.781177801	-1.08312295795109	-0.755441394863101
Elfn1	0.666279499	-1.0580036781019	-0.808296995066963
Syt6	0.726439515	-1.0005368093835	-0.744211521347086
Lhx6	0.580148138	-1.11775546216196	-0.889616873850292
Htr3a	-0.594094032	-1.57035117334151	-1.202362569995
