# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /home/ia1014/gimmemotifs/output/stratified.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	3' UTR	5' UTR	Distal Intergenic	Downstream (1-2kb)	Downstream (2-3kb)	Downstream (<1kb)	Exon	Intron	Promoter (1-2kb)	Promoter (2-3kb)	Promoter (<=1kb)
GM.5.0.GATA.0029	0.000520663261065366	0.0007920250385893047	-0.010064748536570772	0.00040591636261375313	0.0005583353695572319	0.0006190524901706774	0.0007933142141574936	-0.005414677559706499	0.0009402843356559787	0.0008466104878288221	0.06462252738361214
GM.5.0.Unknown.0159	-0.001194805077141217	0.002885256056087267	0.0014894968158965301	0.0013360679167502168	0.0019432541831784877	0.0012674614283007478	-0.001526396028726506	-0.001551923621380486	0.0014744933627862924	0.002108418701750881	0.0009502894756289455
GM.5.0.Mixed.0104	0.0013657856889192036	-0.000740435327987437	0.0015299301770551079	-0.0017503685983769979	0.0019273142535210848	0.002326465262407988	-0.0018142886795557698	0.0015905014420444083	-0.0017968487870488909	0.0021368969486901587	-0.0009877893142848215
GM.5.0.C2H2_ZF.0095	0.001353111719686944	-0.0009669630879134412	-0.0014636377790634054	-0.0015217019802802345	0.0015543980746395185	0.002240498863277855	-0.0018656124158998998	-0.0016506728249462423	0.0017457443379389123	0.0021061354799663434	0.0009438079017069837
GM.5.0.Unknown.0161	-0.0014301996344967822	0.0016161041637920348	0.0014014162155171978	0.0015101812965315916	0.0010004442529773078	0.0014596689448750841	-0.0014325984627714791	0.0014960223027266825	0.0015226450983485363	0.00132456354378924	-0.0015326441785426248
GM.5.0.Homeodomain.0049	0.0017533173337335283	-0.000772642509889579	-0.0014757760102691133	-0.0016878339567188599	0.0021792822914829474	-0.0017240990821357832	-0.0013771464125232967	-0.0015438054907265853	-0.0014024660277187114	0.0017606705562862375	0.0009933506704006018
GM.5.0.Unknown.0113	0.0014380530963929638	-0.0014964843219209848	-0.0015673094827224733	-0.0009358869218523477	0.0013614812364778285	0.0014980026784472314	-0.0013186809429966385	-0.0016349941198134904	0.001791487944159626	-0.001724548755485036	0.0011049894700545433
GM.5.0.Nuclear_receptor.0087	-0.0011221375108555751	0.001022457435793764	0.0015657508965024602	0.0017669195459102604	0.0020712553561429317	0.0016078587476776882	0.0020045478823088173	-0.0014472582238653302	0.0017149919935961488	-0.001437472942309684	0.0010788903510472085
GM.5.0.Unknown.0171	0.0014660396886846225	-0.0009964164905417983	0.0014767656812778233	0.0009929975189109667	0.0011488994269735066	-0.0017643639114892668	0.0012982732726229994	-0.0014692770524053914	-0.0018136197696602325	-0.0016297684583503195	-0.00108098362646521
GM.5.0.Rel.0008	0.0017805878239793539	-0.0024298143169789307	-0.0012803593814963204	0.0015544393408106684	0.0012823286446681202	0.0013778450500674003	-0.0013182602372364014	-0.001457411787542287	0.001409689891786695	0.001368994158056693	0.0009601545150350767
