# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /home/ia1014/gimmemotifs/output/Diff_NEUROD1_maelstrom.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	cluster_1	cluster_2	cluster_3
GM.5.0.GATA.0013	0.002797683191160081	0.005961675271081946	0.00012017222164958683
GM.5.0.Forkhead.0043	0.0019495282631176883	0.002241771707128478	0.0002186822054183599
GM.5.0.Unknown.0159	-0.00118540948914925	-0.0024619023565961677	0.0014261573374400236
GM.5.0.Homeodomain.0142	0.004106420638028989	-0.0011368183177443583	-0.0017322773271884265
GM.5.0.Unknown.0113	0.0010720729978014704	-0.001205485398306702	-0.0013707258037343225
GM.5.0.C2H2_ZF.0188	0.0011525343155734924	0.0022051783052400888	-0.0011948953004668197
GM.5.0.Unknown.0171	-0.0010723086309281117	0.0021735990560265445	-0.0013602882997700216
GM.5.0.Mixed.0104	-0.001176024681947265	0.0006497935081001886	0.0012556691709887822
GM.5.0.RFX.0016	0.0011399176520753183	-0.0016248882418993355	-0.0014636008585167059
GM.5.0.Homeodomain.0049	-0.0009394386504643915	0.0020439543050323494	0.001164064645887379
GM.5.0.C2H2_ZF.0076	-0.0013244527452978758	0.001619574632318564	0.0011969315267580636
GM.5.0.GATA.0016	-0.0009489814435990297	0.0016917887028826363	0.0010562556822563925
GM.5.0.bHLH.0063	0.0014158834922498157	-0.0008655050940593131	0.002210908448953827
GM.5.0.Unknown.0128	0.001312411637528087	-0.0009935878171903438	0.0015145616294395426
GM.5.0.Nuclear_receptor.0139	0.0011280970140091393	-0.0010873728899237045	-0.0012883297591173798
GM.5.0.Unknown.0052	0.001971826637397266	-0.00315179065455199	-0.0012507780921077933
GM.5.0.C2H2_ZF.0129	0.0011592153460624377	0.001836165458711505	-0.0010312962765464978
GM.5.0.Unknown.0027	-0.0012424144587977676	-0.0009517870566811362	0.0015204239008227622
GM.5.0.Nuclear_receptor.0104	0.0016798635295662517	-0.0011779829367428057	0.0018540075652015721
GM.5.0.Nuclear_receptor.0072	-0.0023443520946789687	0.0007436156126946271	0.0018028937720451802
GM.5.0.Nuclear_receptor.0042	-0.0009122279635567321	0.0029229829053593593	-0.0013254451734044917
GM.5.0.Unknown.0099	0.0007492793991913027	0.001952114769073147	0.0006489692628222607
GM.5.0.Rel.0008	0.0011223020328441926	-0.000813320210747929	0.0009965027938578178
GM.5.0.DM.0004	0.0011597972740161663	-0.0009437158479594212	-0.0014593838351798902
GM.5.0.GATA.0027	0.0012612916582509562	0.005647691348006898	-0.001714528604781805
GM.5.0.C2H2_ZF.0280	-0.0010342558565506442	0.002399389948690254	0.0009733868082854818
GM.5.0.Unknown.0066	-0.0009313902395427907	-0.0012504913807027433	0.0008038561622095815
GM.5.0.Unknown.0072	0.001075800339882277	-0.0015457697216994814	-0.0010865432362889113
GM.5.0.C2H2_ZF_Homeodomain.0003	0.0018881428484114479	0.0018098149073592954	0.0009631009644162543
GM.5.0.Ets.0043	0.001410045675120397	-0.0007956530906489355	0.0011903151856304094
GM.5.0.CSD.0001	-0.0012707929014870644	0.0019249462121071613	-0.0012187300603219576
GM.5.0.Nuclear_receptor.0125	-0.00163276115658262	0.0011677721669703903	0.0012747756881702319
GM.5.0.C2H2_ZF.0302	-0.001160727859441644	-0.0011211734820608837	0.0012882904194555132
GM.5.0.Myb_SANT.0012	0.0010037654550888889	0.0011375578875407518	-0.0011549073178017438
GM.5.0.Mixed.0007	-0.00107005956047311	0.0010842984414006721	0.0013128676199776743
GM.5.0.C2H2_ZF.0095	-0.001790192783126174	0.001061276103445936	0.0016554168106482894
GM.5.0.Nuclear_receptor.0051	-0.0011261939056028717	-0.0014777030337877136	0.0012869830914668168
GM.5.0.C2H2_ZF.0093	0.0011641172172016934	-0.0019589209440897455	-0.0015053227713984552
GM.5.0.C2H2_ZF.0073	-0.0009440410604933129	-0.0011218738994488477	0.0012719258264508775
GM.5.0.Nuclear_receptor.0084	-0.0011783284262956854	0.0017614464022572267	0.0014127150386315673
GM.5.0.C2H2_ZF.0243	0.0016285810950885113	-0.000927506763083591	-0.0011713749525723504
GM.5.0.Nuclear_receptor.0017	-0.0011366496643531135	-0.001595226311665661	0.001652619810444642
GM.5.0.bHLH.0096	0.0013114204797115873	0.0012205204796531493	-0.0013384958389750915
GM.5.0.Mixed.0043	0.001049838756923404	-0.000998238952204017	0.001583658025731307
GM.5.0.C2H2_ZF.0119	0.0013481376332632067	-0.000503670150891597	0.001375034518029797
GM.5.0.bZIP.0075	0.0016153866155429709	-0.0015249084890153859	0.0016699341021323613
GM.5.0.C2H2_ZF.0276	0.0012253924863550023	0.0015009507385519536	-0.0011699355563602588
GM.5.0.Forkhead.0040	-0.0009083604257745054	0.0016839114955835446	0.0012007957252730612
GM.5.0.C2H2_ZF.0246	0.0012153233471663776	-0.002381180556314257	0.0011258890501171647
GM.5.0.C2H2_ZF.0255	0.0012005800500643384	-0.0008532949325098683	-0.0015394895192733843
GM.5.0.C2H2_ZF.0177	-0.0012506190934449982	-0.0013440396127434463	0.001523122791454289
GM.5.0.Nuclear_receptor.0061	-0.0016628019198489654	-0.0008814477857880322	0.0014126462124307146
GM.5.0.Unknown.0086	-0.0014014402991862364	-0.0011582873727233127	0.0013452959786655239
GM.5.0.Homeodomain_POU.0015	-0.0009786972742569205	-0.0005404382306201324	0.0011829692643992725
GM.5.0.bHLH.0120	0.0009612545127570313	-0.0007443960983434506	-0.0010423440729424491
