# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_NEUROD1_maelstrom.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	cluster_1	cluster_2	cluster_3
GM.5.0.GATA.0013	0.0019197332248112673	0.006125947790450389	0.00018589120026207094
GM.5.0.Forkhead.0043	0.0003194656849724141	0.00038063499773203694	0.0002550998878602727
GM.5.0.Unknown.0159	-0.001269966247628982	-0.0013142473641729565	0.0012628901605448413
GM.5.0.Homeodomain.0142	0.0019735709972227475	0.0005831616918363562	0.0004956160824949354
GM.5.0.C2H2_ZF.0188	0.00157345841314475	0.0018106444478087277	-0.0011750141197808136
GM.5.0.Unknown.0113	0.0010853784422464635	-0.0009170388654858796	-0.0011567434185058255
GM.5.0.Unknown.0171	-0.001410059360188423	0.0018483804780219432	-0.001064284202460748
GM.5.0.Homeodomain.0049	-0.0011888651022299744	0.0020074072478103036	0.001166019230718187
GM.5.0.bHLH.0098	0.00106389421668649	-0.0017969873444865971	0.0013828452765097879
GM.5.0.C2H2_ZF.0076	-0.0011682985072865428	0.0021769264687398274	-0.0013455630308645517
GM.5.0.RFX.0016	0.0014929187065450774	-0.0012591267022220131	-0.0015565735920548968
GM.5.0.Unknown.0027	-0.0012896897264713355	-0.0020844470131332177	0.0018131725378903812
GM.5.0.Nuclear_receptor.0104	0.0015733080243199582	-0.0019344470056436782	0.0026827840875737453
GM.5.0.Unknown.0128	0.0012808819857241995	-0.0008360206751285177	0.0012704405811260976
GM.5.0.Mixed.0104	-0.001297489806665204	0.0012789529212125646	0.0013738280147326174
GM.5.0.bHLH.0063	0.0014924523237123293	-0.0010077825094738473	0.001763577947307724
GM.5.0.C2H2_ZF_Homeodomain.0003	0.001757656216846788	0.0011180908786741343	0.0013560374904783576
GM.5.0.GATA.0016	-0.00156315517522075	0.0013091022035632098	0.0010864446463724157
GM.5.0.Nuclear_receptor.0139	0.001450437488400972	-0.0013376792832931485	-0.001205923472101252
GM.5.0.Unknown.0099	0.0007064257912457217	0.0014605402694139835	0.000864536420998997
GM.5.0.C2H2_ZF.0250	-0.0012750788891353773	0.001596428602813993	0.001194629762295907
GM.5.0.Nuclear_receptor.0072	-0.0026797292907330805	0.0009182531113391611	0.0023402756901096423
GM.5.0.Unknown.0052	0.0016246787779877086	-0.0026151129199630174	-0.0016764350315744872
GM.5.0.Homeodomain.0047	-0.0011462445860521047	0.002146210002382725	-0.0013222112155113108
GM.5.0.C2H2_ZF.0131	0.001777536279218352	-0.0011632672004189323	-0.0012128509802903766
GM.5.0.C2H2_ZF.0119	0.001477039794408455	-0.00104238169570535	0.0012446027762666935
GM.5.0.Nuclear_receptor.0084	-0.0010025356156362604	0.0015357416558896574	0.0009943345314978435
GM.5.0.C2H2_ZF.0280	-0.001033519727020119	-0.002203726696401755	0.0011308818220041898
GM.5.0.Myb_SANT.0012	0.0011838257817057454	0.0008134265156542472	-0.0011667193032998593
GM.5.0.C2H2_ZF.0152	-0.00126682964352454	0.0015889610177665613	0.001241138828219327
GM.5.0.C2H2_ZF.0095	-0.0012376593965098617	0.001483408555567249	0.0013691548418676234
GM.5.0.Nuclear_receptor.0042	-0.0011977425303211088	0.003047886650153431	-0.001277583851004507
GM.5.0.Nuclear_receptor.0061	-0.0013624730312983419	-0.0006938189944089034	0.001649834219848118
GM.5.0.Mixed.0007	-0.0008904318999685393	0.0018686807482376938	0.001260520491117116
GM.5.0.bHLH.0083	0.0012202967255358192	-0.000530311695777001	0.001608805675499655
GM.5.0.Ets.0044	0.0016176076206915564	-0.0008159522763598857	-0.0012175005711598302
GM.5.0.Nuclear_receptor.0103	0.0012744791744668895	-0.0013051244940524348	-0.001581909929012114
GM.5.0.bZIP.0075	0.0029391150114987325	-0.0015547575778774357	0.0016108782409002302
GM.5.0.Nuclear_receptor.0017	-0.0014277518288290784	-0.0010033166135420234	0.001874652548444816
GM.5.0.CSD.0001	-0.00085712170590666	0.0016258879045895746	-0.0013576169761955132
GM.5.0.C2H2_ZF.0243	0.0013314627600620626	-0.0009991313431817063	-0.0015945169604014457
GM.5.0.Mixed.0100	-0.0012936487032836174	0.00135133503920472	0.0010797838765213828
GM.5.0.Unknown.0206	0.001480568248613659	-0.0014746547271821558	-0.0014462787473857451
GM.5.0.Mixed.0091	-0.000981643637876395	-0.0011686176891463626	0.0013413424122986372
GM.5.0.Rel.0008	0.0007904700583363249	0.000637869443274582	-0.0010850372935011377
GM.5.0.bZIP.0080	0.0012052619835107438	-0.0010693824958790414	-0.0016350337078358365
GM.5.0.C2H2_ZF.0161	-0.0016307497412650282	-0.0011170905547889319	0.0013642322605836254
GM.5.0.C2H2_ZF.0101	-0.0011150888918942093	-0.0011036831274154255	0.0009529187610028942
GM.5.0.Unknown.0072	0.001067283926569743	-0.0008300630655256965	-0.0011194919276516736
GM.5.0.Unknown.0158	0.0014107341944019755	-0.0008440915942197574	0.0012970669082106887
GM.5.0.Mixed.0052	0.0010598212274297316	-0.00103047634465242	0.0012334722320446947
GM.5.0.Unknown.0066	0.0011650519855175942	-0.0017269875744852132	0.0015175069723336767
GM.5.0.Grainyhead.0006	-0.0010947046031630188	0.0015076949620662988	0.0011562378228483705
GM.5.0.Unknown.0141	-0.001221011314788753	-0.0010505543897270694	0.001239351052456048
GM.5.0.DM.0004	0.0011948672015089465	-0.0008506874901541878	-0.0010588086248473271
GM.5.0.Nuclear_receptor.0021	-0.0014193346363486797	-0.001992258664131855	0.001955456325236856
GM.5.0.Nuclear_receptor.0101	-0.0012185065373519772	0.0017988131508809215	0.0015007946636779942
GM.5.0.T-box.0012	0.001459038386277467	-0.0010743506211063059	0.001204137273333319
GM.5.0.C2H2_ZF.0276	0.0014752566146922802	0.0019670928264765727	-0.0011168161808438517
GM.5.0.Mixed.0043	0.0012034825496294462	-0.0007888243324531633	0.0013174769869116606
GM.5.0.Unknown.0061	0.0008634053018358239	-0.0006639651773830007	0.0011624611951582201
GM.5.0.bHLH.0120	0.0013379512190532668	-0.0009263315226606664	-0.0011451834620872536
GM.5.0.Nuclear_receptor.0137	-0.0011838196035182987	-0.0014171948428828647	0.001420086669224703
GM.5.0.Paired_box.0015	0.0013834998207897008	0.000859860713531856	-0.0015899668378885653
GM.5.0.Unknown.0155	0.0007987158582714533	-0.0016424798334528923	0.0014467264911651736
GM.5.0.Unknown.0107	0.001410597178282963	-0.0013531880112191384	-0.001311313347006155
GM.5.0.STAT.0016	-0.0011577895535439047	-0.0009222167816381536	0.001193994315868565
GM.5.0.bZIP.0031	-0.0012638349001682203	-0.001151691966526467	0.001150850727778035
GM.5.0.C2H2_ZF.0277	0.0013525997798769973	-0.0010207973950998777	0.0013404185614569227
GM.5.0.Nuclear_receptor.0148	-0.0022453481676212197	0.001672419438302278	0.0011990784341467532
GM.5.0.Homeodomain.0172	0.0011224413634517607	-0.004099289420803183	0.001578509538254115
GM.5.0.Forkhead.0040	-0.0010722921640410378	0.00081151626231122	0.0011799364899542108
GM.5.0.HSF.0006	0.0011313756174136567	0.0004709683995409464	-0.0014494697350512517
GM.5.0.C2H2_ZF.0107	-0.00130965089627433	-0.001853094347239161	0.0012138767337527374
GM.5.0.C2H2_ZF.0254	-0.002160266479075555	-0.0013621283680560084	0.0014079926329624345
GM.5.0.Homeodomain.0196	0.0011146228701842164	-0.0008948044747561999	0.0010163293367223883
