SYMBOL	Unique on data 13	Unique on data 16	Unique on data 17	Unique on data 14	Unique on data 15	Unique on data 18
Elf4	22.6515262445402	8.27219727937797	4.18423651229661	40.2076744408853	50.069859705446	53.9671935041449
Plcl1	328.447130545833	252.302017021028	270.929314171206	436.253267683605	397.777218771044	483.391861815698
Ptges	110.740794973308	86.8580714334687	78.4544346055615	186.965686150116	229.950466795382	135.688943667564
Lpcat2	60.4040699854406	53.7692823159568	54.395074659856	82.4257326038148	124.24742963944	151.879101718808
Ctsd	9429.32700835221	8555.52003619667	9543.1974254205	11916.5495124174	13976.9086148128	18944.0268397693
Kif26a	368.716510536127	346.398261073952	183.060347412977	170.882616373762	125.174649263615	104.07958747228
Dgkb	6164.99039288903	9292.77961872123	9035.85874830453	4987.76201439182	5514.17510496829	4181.68653666403
Bmp6	288.177750555539	54.803306975879	122.388917984676	348.80157577468	576.730606236805	807.96598274777
Cpt2	49.0783068631705	40.3269617369676	74.2701980932649	102.529569824257	113.120794149341	131.063184224352
Ptpru	480.715723634131	1093.99809019774	1020.95370900037	495.559587483911	257.76705552063	191.969016893316
Ccn4	61.6624881101373	16.5443945587559	32.4278329702987	64.3322791054164	142.791822122939	293.735724643989
Ctsh	120.808139970881	51.7012329961123	67.9938433248199	183.95011056705	186.37114445916	166.527339955647
Ripor2	3148.56214799109	3385.39673658543	3257.42812482291	2653.70651309843	2276.32417734945	2464.75882332502
Rab32	18.8762718704502	15.5103698988337	21.9672416895572	34.1765232747525	58.4148363230204	62.4477524833677
Nrg2	81.7971781052841	94.0962440529244	75.316257221339	131.680133793899	140.010163250414	179.633658378082
Me3	483.232559883525	476.685368224155	449.805425071886	360.863878106945	327.308527333749	305.30012325202
Tmem106a	7.55050874818007	6.20414795953348	10.4605912807415	22.1142209424869	34.3071260944723	29.2964764736787
Arhgap36	30.2020349927203	24.8165918381339	30.3357147141504	57.2959360782615	59.3420559471953	138.001823389171
Magi1	3007.61931802506	2871.48648060408	2474.97589702345	3647.84126364931	3797.8915806205	4282.6822845075
4930511A08Rik	3007.61931802506	2871.48648060408	2474.97589702345	3647.84126364931	3797.8915806205	4282.6822845075
Stard13	109.482376848611	83.7559974537019	115.066504088157	150.77877915332	203.061097694309	195.823816429326
Pros1	290.694586804933	142.69540306927	207.119707358682	410.11827929703	538.714601645632	366.205955920984
Rasgrf1	455.547361140198	1206.70677812926	996.894349054668	220.137017563847	179.880607089936	490.330500980517
Kpna1	5602.47749114961	6033.53389064631	6430.12546027182	4655.04350839349	4243.88421984864	4732.92287031351
Myo1f	17.6178537457535	23.7825671782117	16.7369460491864	55.2855523562172	76.032009182344	36.2351156384973
Zfp503	118.291303721488	125.116983850592	98.3295580389704	256.323924560643	191.007242580035	171.15309939886
Fndc1	466.873124262468	1035.05868458217	995.848289926594	389.009250215565	373.669508542496	430.195628218755
Gulp1	31.460453117417	25.8506164980562	42.8884242510403	54.2803604951951	91.7947427933178	120.269745523523
Tjp2	310.82927680008	254.370066340873	248.962072481648	392.024825798631	397.777218771044	407.066831002693
Gas6	4328.95834895657	3689.39998660257	4271.05941992677	5407.93221229907	6306.94788363785	8819.78133839169
Cryab	338.514475543407	312.275447296518	370.30493133825	446.305186293826	627.727685566426	892.771572539998
Ahnak	283.144078056753	104.436490652147	134.941627521566	344.780808330591	503.480255926985	438.676187197978
Arglu1	2349.4666388087	2750.50559539317	2565.9830411659	1755.06498934464	2038.02873393649	1688.40219677253
Clec4d	11.3257631222701	4.13609863968898	9.41453215266738	25.1297965255533	38.9432242153469	27.7545566592745
Pik3cg	13.8425993716635	9.30622193930022	14.6448277930381	35.1817151357746	59.3420559471953	29.2964764736787
Gpx1	508.400922377458	412.575839308976	486.417494554481	596.078773586124	824.29824589151	832.636699778236
Sema3b	47.8198887384738	43.4290357167343	55.4411337879301	56.2907442172394	152.991237988863	623.706564926475
Col3a1	928.712576026149	288.492880118307	422.607887741958	1225.32887858598	1381.55724002064	1580.46780976424
Gbp5	7.55050874818007	5.17012329961123	16.7369460491864	46.238825607018	46.3609812087463	25.4416769376683
B4galt1	227.773680570099	210.941030624138	197.705175206015	275.422569920064	424.666587872117	372.3736351786
Sspn	161.077519961175	132.355156470048	163.185223979568	224.157785007935	267.039251762379	230.517012253419
Lif	42.7862162396871	36.1908630972786	44.9805425071886	65.3374709664385	109.411915652641	90.2023091426423
Sft2d2	408.985890526421	352.602409033486	418.423651229661	513.653040982309	646.272078049924	589.784329009584
Kif2a	5964.90191106226	5941.50569591323	6249.15723111499	4928.45569459151	4917.04566699964	4582.58568840911
Asic4	114.516049347398	295.731052737762	206.073648230608	81.4205407427926	85.3042054240933	95.5990284930568
Gtse1	151.010174963601	122.014909870825	102.513794551267	173.898191956829	260.548714393154	316.864521860051
Efemp2	222.740008071312	132.355156470048	166.32340136379	267.381035031887	317.109111467825	377.770354529015
Cnn2	96.8981956016443	40.3269617369676	61.717488556375	78.4049651597262	312.47301334695	339.993319076113
Trhr	223.998426196009	753.803977083317	656.925132430568	189.981261733183	194.716121076735	50.1123939681346
NA	78.0219237311941	54.803306975879	43.9344833791144	112.581488434479	120.53855114274	111.7891865443
Atp6v0e	427.862162396871	430.154258527654	440.390892919218	546.824372396039	682.433643392746	820.301341263003
Rai14	440.446343643838	559.407341017935	436.206656406922	305.578325750728	342.144041320548	299.903403901605
Cpt1a	281.885659932056	199.566759364994	321.140152318765	395.040401381698	496.989718557761	496.498180238134
Ehd4	200.088481826772	141.661378409348	115.066504088157	215.111058258736	352.343457186472	632.187123905698
Cpz	42.7862162396871	13.4423205789892	35.5660103545212	51.2647849121287	114.975233397691	199.678615965336
Rras	161.077519961175	192.328586745538	210.257884742905	306.58351761175	281.874765749178	277.545566592745
Lrrc25	11.3257631222701	5.17012329961123	12.5527095368898	40.2076744408853	53.7787382021458	21.586877401658
Epha8	658.152679216363	633.857116532337	498.970204091371	437.258459544627	344.925700193073	297.590524179999
Kctd12b	245.391534315852	509.774157341667	463.40419373685	187.970878011139	232.732125667907	161.130620605233
Cpped1	260.492551812213	281.254707498851	284.52808283617	371.920988578189	496.062498933586	397.815312116268
Camk2d	2602.40868187273	2203.50655029431	1326.40297439803	3399.55887397685	3617.08375390639	4573.33416952268
Irs4	31.460453117417	76.5178248342462	52.3029564037076	116.602255878567	108.484696028466	154.191981440414
